id,code_polluant,code_point_de_prelevement,code_station,nom_station,nom_commune,code_commune,departement_code,departement_nom,code_zone_affichage,date_heure_tu,date_heure_local,valeur_originale,valeur,validite,code_configuration_de_mesure
2022-11-01 23:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,0.45,0.45,True,FR23003_SO2_A
2022-11-01 23:00:00FR23004_SO2_A,01,FR23004_SO2,FR23004,PASTEUR,Donges,44052,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,0.05,0.05,True,FR23004_SO2_A
2022-11-01 23:00:00FR23068_SO2_A,01,FR23068_SO2,FR23068,FROSSAY,Frossay,44061,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,0.075,0.075,True,FR23068_SO2_A
2022-11-01 23:00:00FR23069_SO2_A,01,FR23069_SO2,FR23069,SAVENAY,Savenay,44195,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,1.275,1.3,True,FR23069_SO2_A
2022-11-01 23:00:00FR23070_SO2_A,01,FR23070_SO2,FR23070,SAINT ETIENNE DE MONTLUC,Saint-Etienne-De-Montluc,44158,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,0.0,0.0,True,FR23070_SO2_A
2022-11-01 23:00:00FR23149_SO2_A,01,FR23149_SO2,FR23149,CUTULLIC2,Paimbœuf,44116,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,1.2,1.2,True,FR23149_SO2_A
2022-11-01 23:00:00FR23178_SO2_A,01,FR23178_SO2,FR23178,PARSCAU DU PLESSIS,Donges,44052,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,0.0,0.0,True,FR23178_SO2_A
2022-11-01 23:00:00FR23181_SO2_1,01,FR23181_SO2,FR23181,PARC PAYSAGER,Saint-Nazaire,44184,44,Loire-Atlantique,2,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,0.175,0.18,True,FR23181_SO2_1
2022-11-01 23:00:00FR23249_SO2_A,01,FR23249_SO2,FR23249,CAMEE,Montoir-De-Bretagne,44103,44,Loire-Atlantique,3,2022-11-01T23:00:00Z,2022-11-02T00:00:00+01:00,1.025,1.0,True,FR23249_SO2_A
2022-11-01 22:00:00FR23003_SO2_A,01,FR23003_SO2,FR23003,LA MEGRETAIS,Donges,44052,44,Loire-Atlantique,3,2022-11-01T22:00:00Z,2022-11-01T23:00:00+01:00,0.6,0.6,True,FR23003_SO2_A
